iter	Passed	Remaining
0	63	63679
1	64	32027
2	64	21496
3	65	16194
4	65	13047
5	65	10932
6	66	9426
7	66	8298
8	67	7418
9	67	6708
10	68	6124
11	68	5634
12	68	5221
13	69	4880
14	69	4571
15	69	4304
16	70	4066
17	70	3854
18	71	3666
19	71	3496
20	71	3341
21	72	3201
22	72	3075
23	72	2956
24	73	2847
25	73	2748
26	73	2656
27	74	2569
28	74	2491
29	74	2414
30	74	2343
31	75	2276
32	75	2216
33	75	2157
34	76	2102
35	76	2050
36	76	2000
37	77	1954
38	77	1910
39	77	1867
40	78	1827
41	78	1789
42	78	1755
43	79	1720
44	79	1686
45	79	1655
46	80	1624
47	80	1594
48	80	1566
49	81	1541
50	81	1517
51	81	1492
52	82	1467
53	82	1443
54	82	1421
55	83	1400
56	83	1380
57	83	1360
58	84	1339
59	84	1320
60	84	1302
61	84	1284
62	85	1269
63	85	1254
64	86	1238
65	86	1223
66	86	1207
67	86	1190
68	87	1177
69	87	1162
70	87	1150
71	88	1136
72	88	1124
73	88	1111
74	89	1099
75	89	1087
76	89	1075
77	90	1063
78	90	1052
79	90	1041
80	90	1030
81	91	1020
82	91	1010
83	91	1000
84	91	989
85	92	982
86	92	971
87	92	962
88	93	954
89	93	946
90	93	938
91	94	930
92	94	922
93	94	914
94	95	907
95	95	901
96	96	894
97	96	887
98	96	880
99	97	873
100	97	866
101	97	858
102	97	853
103	98	847
104	98	841
105	99	835
106	99	830
107	99	824
108	100	822
109	101	818
110	101	813
111	102	810
112	103	808
113	103	804
114	103	800
115	104	794
116	104	789
117	105	785
118	105	780
119	105	776
120	106	772
121	106	767
122	106	761
123	107	757
124	107	754
125	108	750
126	108	746
127	108	741
128	109	738
129	109	734
130	110	730
131	110	726
132	110	722
133	111	718
134	111	714
135	111	710
136	112	706
137	112	702
138	112	698
139	113	695
140	113	693
141	114	690
142	114	687
143	115	684
144	115	680
145	115	677
146	116	674
147	116	672
148	117	671
149	118	669
150	118	666
151	118	663
152	119	659
153	119	656
154	119	652
155	119	649
156	120	645
157	120	642
158	120	638
159	121	635
160	121	632
161	121	628
162	121	625
163	122	622
164	122	619
165	122	616
166	122	613
167	123	610
168	123	607
169	123	604
170	124	601
171	124	598
172	124	595
173	124	592
174	125	590
175	125	588
176	126	586
177	126	584
178	126	581
179	127	579
180	127	575
181	127	573
182	127	570
183	128	567
184	128	564
185	128	562
186	128	559
187	129	557
188	129	554
189	129	552
190	129	549
191	130	547
192	130	544
193	130	542
194	130	540
195	131	537
196	131	535
197	131	533
198	131	531
199	132	529
200	132	527
201	133	526
202	133	524
203	133	522
204	134	520
205	134	518
206	134	516
207	135	515
208	135	513
209	136	512
210	136	510
211	136	508
212	137	506
213	137	504
214	137	503
215	138	501
216	138	499
217	138	498
218	139	496
219	139	494
220	139	493
