iter	Passed	Remaining
0	3	3928
1	4	2290
2	4	1647
3	5	1300
4	5	1084
5	5	949
6	5	848
7	6	799
8	6	735
9	6	685
10	7	644
11	7	609
12	7	581
13	7	555
14	8	533
15	8	513
16	8	495
17	8	486
18	9	485
19	9	478
20	10	468
21	10	466
22	10	459
23	11	453
24	11	449
25	11	440
26	12	434
27	12	430
28	12	424
29	13	420
30	13	418
31	13	413
32	13	408
33	14	403
34	14	398
35	14	398
36	15	398
37	15	395
38	15	392
39	16	388
40	16	384
41	16	386
42	17	384
43	17	384
44	18	387
45	18	387
46	19	385
47	19	384
48	19	382
49	20	380
50	20	376
51	20	373
52	20	371
53	21	368
54	21	367
55	21	365
56	21	362
57	22	360
58	22	358
59	22	355
60	22	352
61	23	350
62	23	348
63	23	346
64	23	344
65	24	342
66	24	340
67	24	339
68	25	337
69	25	335
70	25	334
71	25	332
72	26	331
73	26	330
74	26	328
75	27	328
76	27	326
77	27	325
78	27	324
79	28	323
80	28	322
81	28	320
82	28	317
83	29	316
84	29	314
85	29	313
86	29	312
87	29	310
88	30	309
89	30	308
90	30	307
91	31	306
92	31	305
93	31	304
94	31	302
95	32	301
96	32	300
97	32	299
98	32	298
99	33	297
100	33	296
101	33	295
102	33	294
103	34	294
104	34	293
105	34	294
106	35	294
107	35	294
108	35	293
109	36	292
110	36	291
111	36	290
112	36	289
113	37	288
114	37	288
115	37	287
116	37	286
117	38	285
118	38	284
119	38	283
120	38	282
121	39	281
122	39	280
123	39	279
124	39	278
125	40	277
126	40	276
127	40	276
128	40	276
129	41	276
130	41	275
131	41	275
132	42	274
133	42	273
134	42	272
135	42	272
136	43	271
137	43	270
138	43	270
139	43	269
140	44	268
141	44	267
142	44	266
143	44	265
144	45	265
145	45	265
146	45	264
147	45	264
148	46	264
149	46	264
150	46	263
151	47	263
152	47	264
153	47	263
154	48	263
155	48	263
156	49	263
157	49	263
158	49	263
159	49	262
160	50	261
161	50	260
162	50	260
163	50	259
164	51	259
165	51	258
166	51	258
167	52	257
168	52	256
169	52	256
170	52	255
171	52	255
172	53	254
173	53	253
174	53	253
175	53	252
176	54	252
177	54	251
178	54	251
179	55	250
180	55	250
181	55	249
182	55	249
183	56	249
184	56	249
185	57	249
186	57	249
187	57	248
188	57	248
189	58	248
190	58	247
191	58	247
192	59	246
193	59	246
194	59	246
195	60	246
196	60	246
197	60	246
198	61	245
199	61	245
200	61	245
201	61	244
202	62	243
203	62	243
204	62	243
205	62	242
206	63	241
207	63	241
208	63	240
209	63	240
210	64	240
211	64	240
212	65	240
213	65	240
214	65	240
215	66	239
216	66	239
217	66	238
218	66	238
219	67	237
220	67	237
221	67	237
222	67	236
223	68	236
224	68	235
225	68	235
226	68	234
227	69	234
228	69	234
229	69	233
230	70	233
231	70	232
232	70	231
233	70	231
234	70	231
235	71	230
236	71	229
237	71	229
238	71	229
239	72	228
240	72	228
241	72	227
242	73	227
243	73	228
244	74	228
245	74	229
246	75	228
247	75	228
248	75	228
249	76	228
250	76	227
251	76	227
252	76	227
253	77	226
254	77	226
255	77	226
256	78	227
257	78	227
258	79	227
259	79	227
260	80	226
261	80	226
262	80	225
263	80	225
264	81	224
265	81	224
266	81	224
267	81	223
268	82	223
269	82	222
270	82	222
271	83	222
272	83	221
273	83	221
274	83	220
275	84	220
276	84	220
277	84	219
278	84	219
279	85	219
280	85	219
281	85	218
282	86	218
283	86	217
284	86	217
285	87	217
286	87	217
287	87	216
288	87	216
289	88	215
290	88	215
291	88	215
292	89	215
293	89	214
294	89	214
295	89	213
296	90	213
297	90	212
298	90	212
299	90	212
300	91	211
301	91	211
302	91	210
303	92	210
304	92	210
305	92	209
306	92	209
307	93	209
308	93	209
309	93	209
310	94	208
311	94	208
312	94	208
313	95	207
314	95	207
315	95	207
316	95	206
317	96	206
318	96	205
319	96	205
320	97	205
321	97	205
322	97	204
323	97	204
324	98	204
325	98	203
326	98	203
327	99	203
328	99	202
329	99	202
330	100	202
331	100	201
332	100	201
333	100	201
334	101	200
335	101	200
336	101	199
337	101	199
338	102	198
339	102	198
340	102	198
341	102	197
342	102	197
343	103	196
344	103	196
345	103	195
346	103	195
347	104	195
348	104	194
349	104	194
350	104	193
351	104	193
352	105	192
353	105	192
354	105	192
355	106	191
356	106	191
357	106	191
358	106	190
359	107	190
360	107	190
361	107	189
362	108	189
363	108	189
364	108	188
365	108	188
366	109	188
367	109	187
368	109	187
369	110	187
370	110	187
371	110	186
372	110	186
373	111	186
374	111	185
375	111	185
376	112	185
377	112	185
378	113	185
379	113	185
380	113	185
381	114	184
382	114	184
383	114	184
384	115	183
385	115	183
386	115	182
387	115	182
388	116	182
389	116	182
390	116	181
391	116	181
392	117	181
393	117	180
394	117	180
395	118	180
396	118	179
397	118	179
398	119	179
399	119	179
400	119	179
401	120	178
402	120	178
403	121	178
404	121	178
405	121	178
406	122	178
407	122	178
408	123	177
409	123	177
410	123	177
411	124	177
412	124	177
413	124	176
414	125	176
415	125	176
416	125	175
417	126	175
418	129	179
419	130	179
420	130	179
421	131	180
422	131	179
423	132	179
424	132	179
425	133	179
426	133	178
427	133	178
428	133	178
429	134	177
430	134	177
431	134	177
432	135	177
433	136	177
434	136	177
435	136	176
436	137	176
437	137	176
438	138	176
439	138	176
440	139	176
441	140	176
442	140	176
443	140	176
444	141	176
445	141	175
446	141	175
447	142	175
448	142	174
449	142	174
450	143	174
451	143	173
452	143	173
453	144	173
454	144	173
455	145	173
456	146	173
457	146	173
458	146	173
459	147	172
460	147	172
461	147	172
462	148	172
463	148	171
464	149	171
465	149	171
466	149	170
467	149	170
468	150	170
469	150	169
470	150	169
471	150	168
472	151	168
473	151	168
474	151	167
475	152	167
476	152	167
477	152	166
478	152	166
479	153	165
480	153	165
481	153	165
482	154	165
483	154	164
484	154	164
485	155	164
486	155	164
487	156	163
488	156	163
489	156	163
490	157	163
491	157	162
492	157	162
493	158	162
494	158	161
495	158	161
496	159	160
497	159	160
498	159	160
499	159	159
500	160	159
501	160	159
502	160	158
503	160	158
504	161	158
505	161	157
506	161	157
507	162	156
508	162	156
509	162	156
510	163	156
511	163	156
512	164	155
513	164	155
514	165	155
515	165	155
516	165	155
517	166	155
518	167	154
519	167	154
520	167	154
521	168	154
522	168	153
523	168	153
524	169	152
525	169	152
526	169	152
527	169	151
528	170	151
529	170	151
530	170	150
531	171	150
532	171	150
533	172	150
534	172	150
535	173	149
536	173	149
537	174	149
538	174	149
539	174	148
540	175	148
541	175	148
542	175	147
543	175	147
544	176	147
545	176	146
546	176	146
547	177	146
548	177	146
549	178	145
550	178	145
551	179	145
552	179	145
553	180	145
554	181	145
555	181	145
556	181	144
557	182	144
558	182	144
559	183	144
560	183	143
561	184	143
562	184	143
563	185	143
564	185	142
565	185	142
566	186	142
567	186	141
568	187	141
569	187	141
570	188	141
571	188	141
572	189	141
573	189	140
574	190	140
575	190	140
576	190	139
577	191	139
578	191	139
579	191	138
580	192	138
581	192	138
582	192	137
583	193	137
584	193	137
585	193	136
586	193	136
587	194	136
588	194	135
589	194	135
590	195	135
591	195	135
592	196	135
593	197	134
594	197	134
595	198	134
596	198	134
597	203	136
598	203	136
599	203	135
600	203	135
601	204	135
602	204	134
603	204	134
604	205	133
605	205	133
606	205	133
607	205	132
608	206	132
609	206	131
610	206	131
611	206	131
612	207	130
613	207	130
614	207	129
615	207	129
616	208	129
617	208	128
618	208	128
619	209	128
620	209	127
621	209	127
622	210	127
623	210	126
624	210	126
625	210	126
626	211	125
627	211	125
628	211	124
629	212	124
630	212	124
631	212	123
632	212	123
633	212	122
634	213	122
635	213	122
636	213	121
637	217	123
638	217	123
639	218	122
640	218	122
641	218	121
642	218	121
643	219	121
644	219	120
645	219	120
646	219	119
647	220	119
648	220	119
649	220	118
650	220	118
651	221	118
652	221	117
653	221	117
654	222	117
655	222	116
656	222	116
657	222	115
658	223	115
659	223	115
660	223	114
661	223	114
662	224	113
663	224	113
664	224	113
665	224	112
666	225	112
667	225	111
668	225	111
669	225	111
670	226	110
671	226	110
672	226	110
673	226	109
674	227	109
675	227	108
676	227	108
677	227	108
678	228	107
679	228	107
680	228	107
681	228	106
682	232	107
683	232	107
684	233	107
685	233	106
686	233	106
687	233	106
688	234	105
689	234	105
690	234	104
691	234	104
692	235	104
693	235	103
694	235	103
